ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1024013,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",,,Mechanical Return Air 24,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1,,,,24.25,12.25,Point,40.048,198.333,28,,,,,,,90,38.931,197.333,27.383,41.165,199.257,28.617,40.048,198.295,28,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0"""
1024014,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Return Air 24,Return Air,,,"24""x12""",,"24""","12""","0' - 8""",4 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2,,,,24.25,12.25,Curve,40.048,198.666,28,40.048,198.333,28,40.048,198.999,28,,39.038,198.333,27.49,41.059,198.999,28.51,40.048,198.666,28,,"Additional Flow=0 m³/h | Area=4 SF | Flow=0 m³/h | Free Size=24 1/4""x12 1/4"" | Height=12"" | Hydraulic Diameter=16"" | Insulation Thickness=0"" | Length=0' - 8"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=12' - 5 7/8"" | Lower End Top of Insulation Elevation=13' - 6 1/8"" | Overall Size=24 1/4""x12 1/4"" | Pressure Drop=0.00 in-wg | Size=24""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=12' - 5 7/8"" | Upper End Top of Insulation Elevation=13' - 6 1/8"" | Velocity Pressure=0.00 in-wg | Width=24"""
1024023,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",,,Mechanical Return Air 25,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1,,,,24.25,12.25,Point,49.715,198.333,28,,,,,,,90,48.598,197.333,27.383,50.832,199.257,28.617,49.715,198.295,28,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0"""
1024024,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Return Air 25,Return Air,,,"24""x12""",,"24""","12""","0' - 8""",4 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2,,,,24.25,12.25,Curve,49.715,198.666,28,49.715,198.333,28,49.715,198.999,28,,48.704,198.333,27.49,50.725,198.999,28.51,49.715,198.666,28,,"Additional Flow=0 m³/h | Area=4 SF | Flow=0 m³/h | Free Size=24 1/4""x12 1/4"" | Height=12"" | Hydraulic Diameter=16"" | Insulation Thickness=0"" | Length=0' - 8"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=12' - 5 7/8"" | Lower End Top of Insulation Elevation=13' - 6 1/8"" | Overall Size=24 1/4""x12 1/4"" | Pressure Drop=0.00 in-wg | Size=24""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=12' - 5 7/8"" | Upper End Top of Insulation Elevation=13' - 6 1/8"" | Velocity Pressure=0.00 in-wg | Width=24"""
1024033,Air Terminals,PRICE-40FF- Filter Frame Stamped Residential Grille-RETURN Hosted,"24"" x 12""",,,Mechanical Return Air 26,Return Air,,,"24""x12""",,"1' - 0""",,"2' - 0""",,0.26 CF,,,,,,0 m³/h,0 m³/h,,,,,,,,,1,,,,24.25,12.25,Point,59.382,198.333,28,,,,,,,90,58.264,197.333,27.383,60.499,199.257,28.617,59.382,198.295,28,,"Core Length=2' - 0 29/32"" | Core Width=1' - 0 29/32"" | Flow=0 m³/h | Frame Length=2' - 1 3/4"" | Frame Thickness=0' - 0 1/2"" | Frame Width=1' - 1 3/4"" | Length=2' - 0"" | Nominal Length=2' - 0"" | Nominal Size=24"" x 12"" | Nominal Width=1' - 0"" | Opening Length=2' - 0 1/4"" | Opening Width=1' - 0 1/4"" | Outer Frame Length=2' - 2 13/16"" | Outer Frame Width=1' - 2 13/16"" | Price-Design Airflow=0 m³/h | Price-Face Size=26 13/16"" x 14 13/16"" | Price-Material=STEEL | Price-Total Pressure=0.00 in-wg | Show Airflow Arrow=True | Size=24""x12"" | Size Index=29 | Volume=0.26 CF | Width=1' - 0"""
1024034,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Return Air 26,Return Air,,,"24""x12""",,"24""","12""","0' - 8""",4 SF,,,,,"0""","0""",0 m³/h,0 m³/h,0.00 in-wg,,,,,,,,2,,,,24.25,12.25,Curve,59.382,198.666,28,59.382,198.333,28,59.382,198.999,28,,58.371,198.333,27.49,60.392,198.999,28.51,59.382,198.666,28,,"Additional Flow=0 m³/h | Area=4 SF | Flow=0 m³/h | Free Size=24 1/4""x12 1/4"" | Height=12"" | Hydraulic Diameter=16"" | Insulation Thickness=0"" | Length=0' - 8"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=12' - 5 7/8"" | Lower End Top of Insulation Elevation=13' - 6 1/8"" | Overall Size=24 1/4""x12 1/4"" | Pressure Drop=0.00 in-wg | Size=24""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=12' - 5 7/8"" | Upper End Top of Insulation Elevation=13' - 6 1/8"" | Velocity Pressure=0.00 in-wg | Width=24"""
1024053,Duct Fittings,Rectangular Tee,Standard,L 0,,Mechanical Return Air 3,Return Air,,,"8""x5""-8""x5""-8""x5""",,,"5""","8""x5""-8""x5""-8""x5""",,0.25 CF,,,,"0""","0""",,,8baf7d75-8b9b-46d0-b8ce-3ad1c19e6b19,,,,,,,,3,11.772,,,8,5,Point,91.944,192.885,13.5,,,,,,,270,91.735,192.468,13.083,92.152,193.218,13.917,91.944,192.843,13.5,,"Duct Height=5"" | Duct Length 1=5"" | Duct Length 3=5"" | Duct Width 1=8"" | Duct Width 3=8"" | Free Size=8""x5""-8""x5""-8""x5"" | Insulation Thickness=0"" | Length1a=4"" | Length3a=4"" | Lining Thickness=0"" | Overall Size=8""x5""-8""x5""-8""x5"" | Size=8""x5""-8""x5""-8""x5"" | Volume=0.25 CF"
1024057,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Return Air 3,Return Air,,,"6""x6""",,"6""","6""","11' - 11 7/32""",22 SF,,,,,"0""","0""",200 m³/h,200 m³/h,0.01 in-wg,,,,,,,,2,3.924,,,5.5,5.5,Curve,91.944,192.885,20.136,91.944,192.885,14.168,91.944,192.885,26.104,,91.714,192.655,14.168,92.173,193.114,26.104,91.944,192.885,20.136,,"Additional Flow=0 m³/h | Area=22 SF | Flow=200 m³/h | Free Size=5 1/2""x5 1/2"" | Height=6"" | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=11' - 11 7/32"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=-0' - 9 31/32"" | Lower End Top of Insulation Elevation=-0' - 9 31/32"" | Overall Size=5 1/2""x5 1/2"" | Pressure Drop=0.01 in-wg | Size=6""x6"" | Size Lock=False | Upper End Bottom of Insulation Elevation=11' - 1 1/4"" | Upper End Top of Insulation Elevation=11' - 1 1/4"" | Velocity Pressure=0.02 in-wg | Width=6"""
1024085,Air Terminals,Supply Diffuser,12x12 Connection 2,L 1,,Mechanical Supply Air 1,Supply Air,,,"6""x6""",,"6""","6""",,1 SF,0.19 CF,,,,,,200 m³/h,200 m³/h,0.06 in-wg,,,,,,,,1,1.962,,,6,6,Point,74.353,188.333,27.167,,,,,,,0,72.703,186.683,27.167,76.003,189.983,27.5,74.353,188.333,27.333,,"Area=1 SF | Diffuser Height=1' - 0"" | Diffuser Width=1' - 0"" | Duct Height=6"" | Duct Width=6"" | Flow=200 m³/h | Pressure Drop=0.06 in-wg | Size=6""x6"" | Volume=0.19 CF | Width 1=0' - 7 13/16"""
1024099,Air Terminals,Return Diffuser,6x6 Connection 3,L 1,,Mechanical Return Air 3,Return Air,,,"4""x4""",,"4""","4""",,1 SF,0.12 CF,,,,,,100 m³/h,100 m³/h,0.06 in-wg,,,,,,,,1,0.981,,,4,4,Point,74.353,196.122,27.167,,,,,,,0,72.978,194.747,27.167,75.728,197.497,27.5,74.353,196.122,27.333,,"Area=1 SF | Diffuser Height=0' - 10"" | Diffuser Width=0' - 10"" | Duct Height=4"" | Duct Width=4"" | Flow=100 m³/h | Pressure Drop=0.06 in-wg | Size=4""x4"" | Volume=0.12 CF | Width 1=0' - 6 1/2"""
