ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1093855,Duct Fittings,Rectangular to Round Transition - Angle,45 Degree,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"5""x6""-4""ø","4""","5""","6""","5""x6""-4""ø",0 SF,0.03 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,0.981,,4,5,6,Point,91.149,223.307,13.5,,,,,,,0,91.149,223.099,13.25,91.35,223.515,13.75,91.249,223.307,13.5,,"Area=0 SF | Duct Diameter=4"" | Duct Height=6"" | Duct Radius=2"" | Duct Width=5"" | Free Size=5""x6""-4""ø | Insulation Thickness=0"" | Length 1=1"" | Length 2=1"" | Length 3=0"" | Length 4=0"" | Length 5=1"" | Length 6=1"" | Length 7=2"" | Length 8=1"" | Length01=2"" | Lining Thickness=0"" | OffsetHeight=3"" | OffsetHeightfromBase=120"" | OffsetHeightTemp=0.020833 | OffsetWidth=2 1/2"" | OffsetWidthfromBase=120"" | OffsetWidthTemp=-0.017361 | Overall Size=5""x6""-4""ø | Pressure Drop=0.00 in-wg | Size=5""x6""-4""ø | Volume=0.03 CF"
1093856,Duct Fittings,Rectangular to Round Transition - Angle,45 Degree,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"4""ø-3""x3""","4""","3""","3""","4""ø-3""x3""",0 SF,0.01 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,0.981,,4,3,3,Point,92.882,223.307,13.25,,,,,,,120,92.715,223.14,13.25,93.048,223.474,13.351,92.882,223.307,13.3,,"Area=0 SF | Duct Diameter=4"" | Duct Height=3"" | Duct Radius=2"" | Duct Width=3"" | Free Size=4""ø-3""x3"" | Insulation Thickness=0"" | Length 1=1"" | Length 2=1"" | Length 3=0"" | Length 4=0"" | Length 5=1"" | Length 6=1"" | Length 7=1"" | Length 8=1"" | Length01=1"" | Lining Thickness=0"" | OffsetHeight=1 1/2"" | OffsetHeightfromBase=120"" | OffsetHeightTemp=0.010417 | OffsetWidth=1 1/2"" | OffsetWidthfromBase=120"" | OffsetWidthTemp=-0.010417 | Overall Size=4""ø-3""x3"" | Pressure Drop=0.00 in-wg | Size=4""ø-3""x3"" | Volume=0.01 CF"
1093910,Flex Ducts,,Flex - Round,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"4""ø","4""",,,"1' - 7 21/32""",,,,,,"0""","0""",50 m³/h,50 m³/h,0.00 in-wg,,,,,,,,2,0.981,,4,,,Curve,86.29,219.89,13.425,87.031,219.89,13.5,85.548,219.89,13.351,,85.382,219.724,13.333,87.031,220.057,13.785,86.206,219.89,13.559,,"Additional Flow=0 m³/h | Diameter=4"" | Flow=50 m³/h | Free Size=4""ø | Hydraulic Diameter=4"" | Insulation Thickness=0"" | Length=1' - 7 21/32"" | Lining Thickness=0"" | Overall Size=4""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.01 in-wg"
1093913,Duct Fittings,Rectangular to Round Transition - Angle,45 Degree,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"5""x6""-4""ø","4""","5""","6""","5""x6""-4""ø",0 SF,0.03 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,0.981,,4,5,6,Point,87.232,219.89,13.5,,,,,,,180,87.031,219.682,13.25,87.232,220.099,13.75,87.132,219.89,13.5,,"Area=0 SF | Duct Diameter=4"" | Duct Height=6"" | Duct Radius=2"" | Duct Width=5"" | Free Size=5""x6""-4""ø | Insulation Thickness=0"" | Length 1=1"" | Length 2=1"" | Length 3=0"" | Length 4=0"" | Length 5=1"" | Length 6=1"" | Length 7=2"" | Length 8=1"" | Length01=2"" | Lining Thickness=0"" | OffsetHeight=3"" | OffsetHeightfromBase=120"" | OffsetHeightTemp=0.020833 | OffsetWidth=2 1/2"" | OffsetWidthfromBase=120"" | OffsetWidthTemp=-0.017361 | Overall Size=5""x6""-4""ø | Pressure Drop=0.00 in-wg | Size=5""x6""-4""ø | Volume=0.03 CF"
1093914,Duct Fittings,Rectangular to Round Transition - Angle,45 Degree,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"4""ø-3""x3""","4""","3""","3""","4""ø-3""x3""",0 SF,0.01 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,0.981,,4,3,3,Point,85.548,219.89,13.25,,,,,,,120,85.382,219.724,13.25,85.715,220.057,13.351,85.548,219.89,13.3,,"Area=0 SF | Duct Diameter=4"" | Duct Height=3"" | Duct Radius=2"" | Duct Width=3"" | Free Size=4""ø-3""x3"" | Insulation Thickness=0"" | Length 1=1"" | Length 2=1"" | Length 3=0"" | Length 4=0"" | Length 5=1"" | Length 6=1"" | Length 7=1"" | Length 8=1"" | Length01=1"" | Lining Thickness=0"" | OffsetHeight=1 1/2"" | OffsetHeightfromBase=120"" | OffsetHeightTemp=0.010417 | OffsetWidth=1 1/2"" | OffsetWidthfromBase=120"" | OffsetWidthTemp=-0.010417 | Overall Size=4""ø-3""x3"" | Pressure Drop=0.00 in-wg | Size=4""ø-3""x3"" | Volume=0.01 CF"
1093915,Flex Ducts,,Flex - Round,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"4""ø","4""",,,"1' - 8 9/32""",,,,,,"0""","0""",50 m³/h,50 m³/h,0.00 in-wg,,,,,,,,2,0.981,,4,,,Curve,92.116,219.89,13.425,91.35,219.89,13.5,92.882,219.89,13.351,,91.35,219.724,13.333,93.048,220.057,13.79,92.199,219.89,13.562,,"Additional Flow=0 m³/h | Diameter=4"" | Flow=50 m³/h | Free Size=4""ø | Hydraulic Diameter=4"" | Insulation Thickness=0"" | Length=1' - 8 9/32"" | Lining Thickness=0"" | Overall Size=4""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.01 in-wg"
1093918,Duct Fittings,Rectangular to Round Transition - Angle,45 Degree,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"5""x6""-4""ø","4""","5""","6""","5""x6""-4""ø",0 SF,0.03 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,0.981,,4,5,6,Point,91.149,219.89,13.5,,,,,,,0,91.149,219.682,13.25,91.35,220.099,13.75,91.249,219.89,13.5,,"Area=0 SF | Duct Diameter=4"" | Duct Height=6"" | Duct Radius=2"" | Duct Width=5"" | Free Size=5""x6""-4""ø | Insulation Thickness=0"" | Length 1=1"" | Length 2=1"" | Length 3=0"" | Length 4=0"" | Length 5=1"" | Length 6=1"" | Length 7=2"" | Length 8=1"" | Length01=2"" | Lining Thickness=0"" | OffsetHeight=3"" | OffsetHeightfromBase=120"" | OffsetHeightTemp=0.020833 | OffsetWidth=2 1/2"" | OffsetWidthfromBase=120"" | OffsetWidthTemp=-0.017361 | Overall Size=5""x6""-4""ø | Pressure Drop=0.00 in-wg | Size=5""x6""-4""ø | Volume=0.03 CF"
1093919,Duct Fittings,Rectangular to Round Transition - Angle,45 Degree,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"4""ø-3""x3""","4""","3""","3""","4""ø-3""x3""",0 SF,0.01 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,0.981,,4,3,3,Point,92.882,219.89,13.25,,,,,,,120,92.715,219.724,13.25,93.048,220.057,13.351,92.882,219.89,13.3,,"Area=0 SF | Duct Diameter=4"" | Duct Height=3"" | Duct Radius=2"" | Duct Width=3"" | Free Size=4""ø-3""x3"" | Insulation Thickness=0"" | Length 1=1"" | Length 2=1"" | Length 3=0"" | Length 4=0"" | Length 5=1"" | Length 6=1"" | Length 7=1"" | Length 8=1"" | Length01=1"" | Lining Thickness=0"" | OffsetHeight=1 1/2"" | OffsetHeightfromBase=120"" | OffsetHeightTemp=0.010417 | OffsetWidth=1 1/2"" | OffsetWidthfromBase=120"" | OffsetWidthTemp=-0.010417 | Overall Size=4""ø-3""x3"" | Pressure Drop=0.00 in-wg | Size=4""ø-3""x3"" | Volume=0.01 CF"
1093920,Flex Ducts,,Flex - Round,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"4""ø","4""",,,"1' - 7 21/32""",,,,,,"0""","0""",50 m³/h,50 m³/h,0.00 in-wg,,,,,,,,2,0.981,,4,,,Curve,86.29,217.057,13.425,87.031,217.057,13.5,85.548,217.057,13.351,,85.382,216.89,13.333,87.031,217.224,13.785,86.206,217.057,13.559,,"Additional Flow=0 m³/h | Diameter=4"" | Flow=50 m³/h | Free Size=4""ø | Hydraulic Diameter=4"" | Insulation Thickness=0"" | Length=1' - 7 21/32"" | Lining Thickness=0"" | Overall Size=4""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.01 in-wg"
1093923,Duct Fittings,Rectangular to Round Transition - Angle,45 Degree,L 0,,Mechanical Exhaust Air 1,Exhaust Air,,,"5""x6""-4""ø","4""","5""","6""","5""x6""-4""ø",0 SF,0.03 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,0.981,,4,5,6,Point,87.232,217.057,13.5,,,,,,,180,87.031,216.849,13.25,87.232,217.265,13.75,87.132,217.057,13.5,,"Area=0 SF | Duct Diameter=4"" | Duct Height=6"" | Duct Radius=2"" | Duct Width=5"" | Free Size=5""x6""-4""ø | Insulation Thickness=0"" | Length 1=1"" | Length 2=1"" | Length 3=0"" | Length 4=0"" | Length 5=1"" | Length 6=1"" | Length 7=2"" | Length 8=1"" | Length01=2"" | Lining Thickness=0"" | OffsetHeight=3"" | OffsetHeightfromBase=120"" | OffsetHeightTemp=0.020833 | OffsetWidth=2 1/2"" | OffsetWidthfromBase=120"" | OffsetWidthTemp=-0.017361 | Overall Size=5""x6""-4""ø | Pressure Drop=0.00 in-wg | Size=5""x6""-4""ø | Volume=0.03 CF"
