ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1941766,Walls,,Storefront - EXTERIOR ISLAND,L 1,,B2010,Exterior Walls,"13' - 10""",,,,97 SF,,,,,,,,"2' - 0""","0' - 0""",Curve,134.215,191.416,15,134.215,184.499,15,134.215,198.333,15,,133.715,184.499,17,134.715,198.333,24,134.215,191.416,20.5,,"Adjust for Mullion Size=False | Area=97 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=2' - 0"" | Border 1 Type=2.5"" x 5"" rectangular | Border 2 Type=2.5"" x 5"" rectangular | Export Type to IFC=0 | Family and Type=Storefront - EXTERIOR ISLAND | Interior Type=2.5"" x 5"" rectangular | Length=13' - 10"" | Offset=0' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Storefront - EXTERIOR ISLAND | Type Id=Storefront - EXTERIOR ISLAND | Type IfcGUID=21niu4ukDA1u2Qnv1EMNlF | Type Mark=CW03 | Type Name=Storefront - EXTERIOR ISLAND | Unconnected Height=7' - 0"""
1941767,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 3 19/32""","0' - 1""","6' - 7""",28 SF,2.36 CF,,,Glass,,,,,,BoundingBox,134.319,186.857,20.5,,,,,,,,134.277,184.708,17.208,134.361,189.006,23.792,134.319,186.857,20.5,,"Area=28 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=6' - 7"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.36 CF | Width=4' - 3 19/32"""
1941769,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 3 19/32""","0' - 1""","6' - 7""",28 SF,2.36 CF,,,Glass,,,,,,BoundingBox,134.319,195.975,20.5,,,,,,,,134.277,193.826,17.208,134.361,198.124,23.792,134.319,195.975,20.5,,"Area=28 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=6' - 7"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.36 CF | Width=4' - 3 19/32"""
1941770,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 3 19/32""",,"0' - 5""","0' - 5""",3 SF,0.37 CF,,,Aluminum,,,,,,Point,134.215,198.124,24,,,,,,,240,134.007,193.826,23.792,134.423,198.124,24,134.215,195.975,23.896,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 3 19/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.37 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941771,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 4 27/32""",,"0' - 5""","0' - 5""",3 SF,0.38 CF,,,Aluminum,,,,,,Point,134.215,193.618,24,,,,,,,240,134.007,189.215,23.792,134.423,193.618,24,134.215,191.416,23.896,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 4 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.38 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941772,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 3 19/32""",,"0' - 5""","0' - 5""",3 SF,0.37 CF,,,Aluminum,,,,,,Point,134.215,184.708,17,,,,,,,240,134.007,184.708,17,134.423,189.006,17.208,134.215,186.857,17.104,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 3 19/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.37 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941773,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 3 19/32""",,"0' - 5""","0' - 5""",3 SF,0.37 CF,,,Aluminum,,,,,,Point,134.215,193.826,17,,,,,,,240,134.007,193.826,17,134.423,198.124,17.208,134.215,195.975,17.104,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 3 19/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.37 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941774,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"7' - 0""",,"0' - 5""","0' - 5""",4 SF,0.61 CF,,,Aluminum,,,,,,Point,134.215,198.333,17,,,,,,,180,134.007,198.124,17,134.423,198.333,24,134.215,198.229,20.5,,"Area=4 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=7' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.61 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941775,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"7' - 0""",,"0' - 5""","0' - 5""",4 SF,0.61 CF,,,Aluminum,,,,,,Point,134.215,184.499,24,,,,,,,270,134.007,184.499,17,134.423,184.708,24,134.215,184.604,20.5,,"Area=4 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=7' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.61 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941776,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"7' - 0""",,"0' - 5""","0' - 5""",4 SF,0.61 CF,,,Aluminum,,,,,,Point,134.215,193.722,17,,,,,,,180,134.007,193.618,17,134.423,193.826,24,134.215,193.722,20.5,,"Area=4 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=7' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.61 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941854,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 4 27/32""","0' - 1""","6' - 7""",29 SF,2.42 CF,,,Glass,,,,,,BoundingBox,134.319,191.416,20.5,,,,,,,,134.277,189.215,17.208,134.361,193.618,23.792,134.319,191.416,20.5,,"Area=29 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=6' - 7"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.42 CF | Width=4' - 4 27/32"""
