ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1383914,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,107.454,159.729,19.052,,,,,,,,105.163,159.687,15.208,109.744,159.77,22.896,107.454,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383916,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,102.665,159.729,19.052,,,,,,,,100.375,159.687,15.208,104.955,159.77,22.896,102.665,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383918,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,97.876,159.729,19.052,,,,,,,,95.586,159.687,15.208,100.166,159.77,22.896,97.876,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383920,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,93.087,159.729,19.052,,,,,,,,90.797,159.687,15.208,95.377,159.77,22.896,93.087,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383922,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,88.298,159.729,19.052,,,,,,,,86.008,159.687,15.208,90.588,159.77,22.896,88.298,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383924,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,83.509,159.729,19.052,,,,,,,,81.219,159.687,15.208,85.8,159.77,22.896,83.509,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383926,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,78.72,159.729,19.052,,,,,,,,76.43,159.687,15.208,81.011,159.77,22.896,78.72,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383928,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,73.932,159.729,19.052,,,,,,,,71.641,159.687,15.208,76.222,159.77,22.896,73.932,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383930,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,BoundingBox,69.143,159.729,19.052,,,,,,,,66.852,159.687,15.208,71.433,159.77,22.896,69.143,159.729,19.052,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 31/32"""
1383938,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 5 23/32""","0' - 1""","3' - 8 1/4""",17 SF,1.38 CF,,,Glass,,,,,,BoundingBox,121.768,159.729,24.948,,,,,,,,119.53,159.687,23.104,124.007,159.77,26.792,121.768,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.38 CF | Width=4' - 5 23/32"""
