ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1241457,Floors,,"Generic - 12""",L -1,,A1010,,,,"1' - 0""","1' - 0""",6693 SF,6692.99 CF,,,Default Floor,,,,,,BoundingBox,66.517,169.468,-15.5,,,,,,,,7.819,139.937,-16,125.215,198.999,-15,66.517,169.468,-15.5,,"Area=6693 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Default Thickness=1' - 0"" | Excavation Volume on Toposolid=28245.50 CF | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Thickness=1' - 0"" | Type Mark=G01 | Volume=6692.99 CF"
1241717,Floors,,"Concrete 6"" DNC",L 0,,B1010,,,,"0' - 6""","0' - 6""",9689 SF,4844.72 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.59,198.666,-0.25,,,,,,,,8.548,140.666,-0.5,124.632,256.666,0,66.59,198.666,-0.25,,"Area=9689 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Default Thickness=0' - 6"" | Excavation Volume on Toposolid=701.52 CF | Height Offset From Level=0' - 0"" | Level=L 0 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=4844.72 CF"
1241762,Floors,,"Concrete 6"" DNC",L 1,,B1010,,,,"0' - 6""","0' - 6""",9486 SF,4743.03 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.548,169.958,14.75,,,,,,,,-1.118,130.916,14.5,134.215,208.999,15,66.548,169.958,14.75,,"Area=9486 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Default Thickness=0' - 6"" | Height Offset From Level=0' - 0"" | Level=L 1 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=4743.03 CF"
1502300,Floors,,"Wood Joist 10"" - Wood Finish DNC",L 0,,,,,,"0' - 10 3/4""","0' - 10 3/4""",5771 SF,5169.91 CF,,,"Plywood, Sheathing; Oak Flooring; Structure, Wood Joist/Rafter Layer",,,,,,BoundingBox,16.6,227.781,-0.448,,,,,,,,-33.348,198.895,-0.896,66.548,256.666,0,16.6,227.781,-0.448,,"Area=5771 SF | Default Thickness=0' - 10 3/4"" | Excavation Volume on Toposolid=88.10 CF | Height Offset From Level=0' - 0"" | Level=L 0 | Related to Mass=False | Structural Material=Structure, Wood Joist/Rafter Layer | Thermal Mass=2.1446 BTU/(ft²·°F) | Thickness=0' - 10 3/4"" | Type Mark=AF04 | Volume=5169.91 CF"
1533476,Floors,,"Wood Joist 10"" - Ceramic Tile DNC",L -1,,,,,,"0' - 10 3/4""","0' - 10 3/4""",4828 SF,4324.80 CF,,,"Plywood, Sheathing; Tile, Mosaic, Gray; Structure, Wood Joist/Rafter Layer; Cementitious Backer Board",,,,,,BoundingBox,46.048,161.666,-15.448,,,,,,,,-33.181,124.666,-15.896,125.277,198.666,-15,46.048,161.666,-15.448,,"Area=4828 SF | Default Thickness=0' - 10 3/4"" | Excavation Volume on Toposolid=2945.13 CF | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Structural Material=Structure, Wood Joist/Rafter Layer | Thermal Mass=1.1932 BTU/(ft²·°F) | Thickness=0' - 10 3/4"" | Type Mark=AF05 | Volume=4324.80 CF"
1789623,Floors,,"Concrete 6"" DNC",L 0,,B1010,,,,"0' - 6""","0' - 6""",1628 SF,813.87 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,137.382,223.757,-0.25,,,,,,,,124.548,190.847,-0.5,150.215,256.666,0,137.382,223.757,-0.25,,"Area=1628 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Default Thickness=0' - 6"" | Excavation Volume on Toposolid=373.28 CF | Height Offset From Level=0' - 0"" | Level=L 0 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=813.87 CF"
1789655,Floors,,"Concrete 6"" DNC",L -1,,B1010,,,,"0' - 6""","0' - 6""",1858 SF,929.17 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,137.715,161.833,-15.25,,,,,,,,125.215,124.666,-15.5,150.215,198.999,-15,137.715,161.833,-15.25,,"Area=1858 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Default Thickness=0' - 6"" | Excavation Volume on Toposolid=11116.79 CF | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=929.17 CF"
