ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1518324,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,78.699,197.119,0.164,,,,,,,270,77.628,196.327,1.916,79.457,197.911,3.239,78.543,197.119,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1518325,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,78.699,194.232,0.164,,,,,,,270,77.628,193.44,1.916,79.457,195.023,3.239,78.543,194.232,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1518326,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,78.699,191.541,0.164,,,,,,,270,77.628,190.75,1.916,79.457,192.333,3.239,78.543,191.541,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1518327,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,87.371,192.98,0,,,,,,,90,86.104,192.148,0,88.994,193.811,2.313,87.549,192.98,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1518328,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,87.371,190.23,0,,,,,,,90,86.104,189.398,0,88.994,191.061,2.313,87.549,190.23,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1518329,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,87.371,196.386,0,,,,,,,270,86.104,195.555,0,88.994,197.217,2.313,87.549,196.386,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1521877,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.89,197.104,0.164,,,,,,,270.679,99.123,196.304,1.916,100.97,197.909,3.239,100.046,197.106,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1521878,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.924,194.218,0.164,,,,,,,270.679,99.157,193.417,1.916,101.004,195.022,3.239,100.081,194.219,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1521879,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 0,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.956,191.527,0.164,,,,,,,270.679,99.189,190.727,1.916,101.036,192.332,3.239,100.112,191.529,2.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1521880,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,91.268,192.863,0,,,,,,,90.679,89.635,192.012,0,92.544,193.709,2.313,91.09,192.861,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
