ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1241457,Floors,,"Generic - 12""",L -1,,A1010,,,,"1' - 0""","1' - 0""",6594 SF,6594.30 CF,,,Default Floor,,,,,,BoundingBox,66.548,169.833,-15.5,,,,,,,,8.548,140.666,-16,124.548,198.999,-15,66.548,169.833,-15.5,,"Area=6594 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Default Thickness=1' - 0"" | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Thickness=1' - 0"" | Type Mark=G01 | Volume=6594.30 CF"
1241717,Floors,,"Concrete 6""",L 0,,B1010,,,,"0' - 6""","0' - 6""",9883 SF,4941.31 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.548,198.666,-0.25,,,,,,,,8.548,140.666,-0.5,124.548,256.666,0,66.548,198.666,-0.25,,"Area=9883 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Default Thickness=0' - 6"" | Height Offset From Level=0' - 0"" | Level=L 0 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=4941.31 CF"
1241762,Floors,,"Concrete 6""",L 1,,B1010,,,,"0' - 6""","0' - 6""",9767 SF,4883.64 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.548,169.833,14.75,,,,,,,,-1.452,130.666,14.5,134.548,208.999,15,66.548,169.833,14.75,,"Area=9767 SF | Assembly Code=B1010 | Assembly Description=Floor Construction | Default Thickness=0' - 6"" | Height Offset From Level=0' - 0"" | Level=L 1 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=4883.64 CF"
1386327,Floors,,"Generic - 12""",Roof,,A1010,,,,"1' - 0""","1' - 0""",9577 SF,9577.16 CF,,,Default Floor,,,,,,BoundingBox,66.548,169.833,26.5,,,,,,,,-1.452,130.666,26,134.548,208.999,27,66.548,169.833,26.5,,"Area=9577 SF | Assembly Code=A1010 | Assembly Description=Standard Foundations | Default Thickness=1' - 0"" | Height Offset From Level=-3' - 0"" | Level=Roof | Related to Mass=False | Thickness=1' - 0"" | Type Mark=G01 | Volume=9577.16 CF"
1502300,Floors,,"Wood Joist 10"" - Wood Finish",L 0,,,,,,"0' - 10 3/4""","0' - 10 3/4""",3359 SF,3009.25 CF,,,"Plywood, Sheathing; Oak Flooring; Structure, Wood Joist/Rafter Layer",,,,,,BoundingBox,37.59,227.666,-0.448,,,,,,,,8.632,198.666,-0.896,66.548,256.666,0,37.59,227.666,-0.448,,"Area=3359 SF | Default Thickness=0' - 10 3/4"" | Height Offset From Level=0' - 0"" | Level=L 0 | Related to Mass=False | Structural Material=Structure, Wood Joist/Rafter Layer | Thermal Mass=2.1446 BTU/(ft²·°F) | Thickness=0' - 10 3/4"" | Type Mark=AF04 | Volume=3009.25 CF"
1533476,Floors,,"Wood Joist 10"" - Ceramic Tile",L -1,,,,,,"0' - 10 3/4""","0' - 10 3/4""",3570 SF,3197.84 CF,,,"Plywood, Sheathing; Tile, Mosaic, Gray; Structure, Wood Joist/Rafter Layer; Cementitious Backer Board",,,,,,BoundingBox,54.548,161.666,-15.448,,,,,,,,-16.181,124.666,-15.896,125.277,198.666,-15,54.548,161.666,-15.448,,"Area=3570 SF | Default Thickness=0' - 10 3/4"" | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Structural Material=Structure, Wood Joist/Rafter Layer | Thermal Mass=1.1932 BTU/(ft²·°F) | Thickness=0' - 10 3/4"" | Type Mark=AF05 | Volume=3197.84 CF"
1616909,Floors,,soil,L 0,,,,,,"0' - 6 1/4""","0' - 6 1/4""",77 SF,40.22 CF,,,"Tile, Mosaic, Gray; Grass",,,,,,BoundingBox,9.382,169.541,1.74,,,,,,,,8.715,140.583,1.479,10.048,198.499,2,9.382,169.541,1.74,,"Area=77 SF | Default Thickness=0' - 6 1/4"" | Height Offset From Level=2' - 0"" | Level=L 0 | Related to Mass=False | Thermal Mass=0.4489 BTU/(ft²·°F) | Thickness=0' - 6 1/4"" | Type Mark=AF05 | Volume=40.22 CF"
