ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Comments
582113,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582114,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582115,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582116,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582117,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582118,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582119,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582120,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582121,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582122,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582123,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582124,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582125,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582126,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
582127,Structural Columns,Timber-Column,18x18,L 1,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 1,Roof,"0' - 0""","0' - 0""",
594592,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
595047,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",
598311,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
598365,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
598390,Structural Columns,Concrete-Rectangular-Column,18x18,L -1,,A1010,,,,,,,42.75 CF,"Concrete, Cast-in-Place gray",,L -1,L 0,"-4' - 0""","0' - 0""",
