ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
581907,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,95.548,140.666,0,,,,,,,0,94.819,139.937,-19,96.277,141.395,0,95.548,140.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=H-2 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581908,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,66.548,140.666,0,,,,,,,0,65.819,139.937,-19,67.277,141.395,0,66.548,140.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=F-2 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581909,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,37.548,140.666,0,,,,,,,0,36.819,139.937,-19,38.277,141.395,0,37.548,140.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=D-2 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
581910,Structural Columns,Timber-Column,18x18,L -1,,B1010,,,,,,,40.41 CF,,,"Softwood, Lumber",,L -1,L 0,"-4' - 0""","0' - 0""",Point,8.548,140.666,0,,,,,,,0,7.819,139.937,-19,9.277,141.395,0,8.548,140.666,-9.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L -1 | Base Offset=-4' - 0"" | Column Location Mark=B-2 | Level=L -1 | Structural Material=Softwood, Lumber | System Length=19' - 0"" | Top Level=L 0 | Top Offset=0' - 0"" | Volume=40.41 CF"
582082,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,,,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",Point,124.548,256.666,0,,,,,,,0,123.819,255.937,0,125.277,257.395,15,124.548,256.666,7.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L 0 | Base Offset=0' - 0"" | Column Location Mark=J-10 | Level=L 0 | Structural Material=Softwood, Lumber | System Length=15' - 0"" | Top Level=L 1 | Top Offset=0' - 0"" | Volume=31.90 CF"
582084,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,,,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",Point,66.548,256.666,0,,,,,,,0,65.819,255.937,0,67.277,257.395,15,66.548,256.666,7.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L 0 | Base Offset=0' - 0"" | Column Location Mark=F-10 | Level=L 0 | Structural Material=Softwood, Lumber | System Length=15' - 0"" | Top Level=L 1 | Top Offset=0' - 0"" | Volume=31.90 CF"
582085,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,,,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",Point,124.548,227.666,0,,,,,,,0,123.819,226.937,0,125.277,228.395,15,124.548,227.666,7.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L 0 | Base Offset=0' - 0"" | Column Location Mark=J-8 | Level=L 0 | Structural Material=Softwood, Lumber | System Length=15' - 0"" | Top Level=L 1 | Top Offset=0' - 0"" | Volume=31.90 CF"
582087,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,,,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",Point,66.548,227.666,0,,,,,,,0,65.819,226.937,0,67.277,228.395,15,66.548,227.666,7.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L 0 | Base Offset=0' - 0"" | Column Location Mark=F-8 | Level=L 0 | Structural Material=Softwood, Lumber | System Length=15' - 0"" | Top Level=L 1 | Top Offset=0' - 0"" | Volume=31.90 CF"
582088,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,,,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",Point,124.548,198.666,0,,,,,,,0,123.819,197.937,0,125.277,199.395,15,124.548,198.666,7.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L 0 | Base Offset=0' - 0"" | Column Location Mark=J-6 | Level=L 0 | Structural Material=Softwood, Lumber | System Length=15' - 0"" | Top Level=L 1 | Top Offset=0' - 0"" | Volume=31.90 CF"
582089,Structural Columns,Timber-Column,18x18,L 0,,B1010,,,,,,,31.90 CF,,,"Softwood, Lumber",,L 0,L 1,"0' - 0""","0' - 0""",Point,95.548,198.666,0,,,,,,,0,94.819,197.937,0,96.277,199.395,15,95.548,198.666,7.5,,"Assembly Code=B1010 | Assembly Description=Floor Construction | Base Level=L 0 | Base Offset=0' - 0"" | Column Location Mark=H-6 | Level=L 0 | Structural Material=Softwood, Lumber | System Length=15' - 0"" | Top Level=L 1 | Top Offset=0' - 0"" | Volume=31.90 CF"
