ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1668176,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,93.852,196.473,0,,,,,,,360,93.021,195.206,0,94.683,198.096,2.313,93.852,196.651,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1668177,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,91.102,196.473,0,,,,,,,360,90.271,195.206,0,91.933,198.096,2.313,91.102,196.651,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1668178,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 0,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,100.012,196.473,0,,,,,,,180,99.18,195.206,0,100.843,198.096,2.313,100.012,196.651,1.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1674878,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L -1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.872,190.465,-14.836,,,,,,,270,99.114,189.674,-13.084,100.943,191.257,-11.761,100.029,190.465,-12.422,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1674879,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L -1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.872,187.578,-14.836,,,,,,,270,99.114,186.786,-13.084,100.943,188.37,-11.761,100.029,187.578,-12.422,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1674880,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L -1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,93.852,196.964,-15,,,,,,,360,93.021,195.697,-15,94.683,198.587,-12.687,93.852,197.142,-13.844,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1674881,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L -1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,91.102,196.964,-15,,,,,,,360,90.271,195.697,-15,91.933,198.587,-12.687,91.102,197.142,-13.844,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1674882,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L -1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,100.012,196.964,-15,,,,,,,180,99.18,195.697,-15,100.843,198.587,-12.687,100.012,197.142,-13.844,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1708563,Plumbing Fixtures,M_Sink Kitchen-Island,450 x 450mm,L -1,,,,,,,,"1' - 5 23/32""",,,5 SF,0.24 CF,"Metal - Steel, Polished",,,,,,,,,,,,,,,0,,,,,,Point,9.661,161.615,-15,,,,,,,90,8.923,160.877,-12.708,10.791,162.354,-11.104,9.857,161.615,-11.906,,"Area=5 SF | Counter Height=3' - 0"" | Fixture Material=Metal - Steel, Polished | Sink Material=Metal - Steel, Polished | Volume=0.24 CF | Width=1' - 5 23/32"""
1722797,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.872,190.465,15.164,,,,,,,270,99.114,189.674,16.916,100.943,191.257,18.239,100.029,190.465,17.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1722798,Plumbing Fixtures,M_Vão da pia-Redondo,482 x 482 mm,L 1,,,,,,,,,,,5 SF,0.43 CF,Stainless Steel; Porcelana - Linho,,,,,,,,,,,,,,,0,,,,,,Point,99.872,187.578,15.164,,,,,,,270,99.114,186.786,16.916,100.943,188.37,18.239,100.029,187.578,17.578,,Area=5 SF | Material da cuba=Porcelana - Linho | Material hidráulico=Stainless Steel | Volume=0.43 CF
1722799,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,93.852,196.964,15,,,,,,,360,93.021,195.697,15,94.683,198.587,17.313,93.852,197.142,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1722800,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,91.102,196.964,15,,,,,,,360,90.271,195.697,15,91.933,198.587,17.313,91.102,197.142,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
1722801,Plumbing Fixtures,M_Toilet-Residencial-3D,M_Toilet-Residencial-3D,L 1,,,,,,,,,,,20 SF,1.10 CF,"Laminado - Linho, Opaco; Porcelana - Linho",,,,,,,,,,,,,,,0,,,,,,Point,100.012,196.964,15,,,,,,,180,99.18,195.697,15,100.843,198.587,17.313,100.012,197.142,16.156,,"Area=20 SF | Material da cuba/pia=Porcelana - Linho | Material do assento=Laminado - Linho, Opaco | Volume=1.10 CF"
