ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1241457,Floors,,"Generic - 12""",L -1,,,,,,"1' - 0""","1' - 0""",7214 SF,7213.69 CF,,,Default Floor,,,,,,BoundingBox,66.548,176.916,-15.5,,,,,,,,8.548,140.666,-16,124.548,213.166,-15,66.548,176.916,-15.5,,"Area=7214 SF | Default Thickness=1' - 0"" | Height Offset From Level=0' - 0"" | Level=L -1 | Related to Mass=False | Thickness=1' - 0"" | Type Mark=G01 | Volume=7213.69 CF"
1241717,Floors,,"Concrete 6""",L 0,,,,,,"0' - 6""","0' - 6""",9737 SF,4868.34 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.548,198.666,-0.25,,,,,,,,8.548,140.666,-0.5,124.548,256.666,0,66.548,198.666,-0.25,,"Area=9737 SF | Default Thickness=0' - 6"" | Height Offset From Level=0' - 0"" | Level=L 0 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=4868.34 CF"
1241762,Floors,,"Concrete 6""",L 1,,,,,,"0' - 6""","0' - 6""",9618 SF,4809.01 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.548,169.833,14.75,,,,,,,,-1.452,130.666,14.5,134.548,208.999,15,66.548,169.833,14.75,,"Area=9618 SF | Default Thickness=0' - 6"" | Height Offset From Level=0' - 0"" | Level=L 1 | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=4809.01 CF"
1386327,Floors,,"Concrete 6""",Roof,,,,,,"0' - 6""","0' - 6""",8829 SF,4414.50 CF,,,"Concrete, Cast-in-Place gray",,,,,,BoundingBox,66.548,169.833,29.75,,,,,,,,-1.452,130.666,29.5,134.548,208.999,30,66.548,169.833,29.75,,"Area=8829 SF | Default Thickness=0' - 6"" | Height Offset From Level=0' - 0"" | Level=Roof | Related to Mass=False | Structural Material=Concrete, Cast-in-Place gray | Thermal Mass=11.2658 BTU/(ft²·°F) | Thickness=0' - 6"" | Type Mark=SF01 | Volume=4414.50 CF"
