ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1248630,Landings,,Non-Monolithic Landing,,,,,,,,,,,,,"Steel, Paint Finish, Dark Gray",,,,,,BoundingBox,25.642,178.557,-7.5,,,,,,,,23.588,174.057,-15,27.696,183.057,0,25.642,178.557,-7.5,,"Export Type to IFC=0 | Family and Type=Non-Monolithic Landing | Relative Height=7' - 6"" | Total Thickness=0' - 0 1/4"" | Type=Non-Monolithic Landing | Type Id=Non-Monolithic Landing | Type IfcGUID=2DlOjOyRTFpQxc_0Rnt1X1 | Type Name=Non-Monolithic Landing"
1249106,Walls,,"Generic - 8""",L 1,,,,"126' - 0""","0' - 8""",,,1890 SF,1260.00 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,61.548,130.666,15,-1.452,130.666,15,124.548,130.666,15,,-1.785,130.333,15,124.548,130.999,30,61.382,130.666,22.5,,"Area=1890 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=126' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=1260.00 CF | Width=0' - 8"""
1249210,Walls,,"Generic - 8""",L 1,,,,"126' - 0""","0' - 8""",,,1572 SF,1048.15 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,61.548,140.666,15,124.548,140.666,15,-1.452,140.666,15,,-1.785,140.333,15,124.548,140.999,30,61.382,140.666,22.5,,"Area=1572 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=126' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=1048.15 CF | Width=0' - 8"""
1249235,Walls,,"Generic - 8""",L 1,,,,"10' - 0""","0' - 8""",,,140 SF,93.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,-1.452,135.666,15,-1.452,140.666,15,-1.452,130.666,15,,-1.785,130.666,15,-1.118,140.666,30,-1.452,135.666,22.5,,"Area=140 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=93.33 CF | Width=0' - 8"""
1249262,Walls,,"Generic - 8""",L 1,,,,"10' - 0""","0' - 8""",,,140 SF,93.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,8.215,135.666,15,8.215,140.666,15,8.215,130.666,15,,7.882,130.666,15,8.548,140.666,30,8.215,135.666,22.5,,"Area=140 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=93.33 CF | Width=0' - 8"""
1249295,Walls,,"Generic - 8""",L 1,,,,"10' - 0""","0' - 8""",,,140 SF,93.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,17.882,135.666,15,17.882,140.666,15,17.882,130.666,15,,17.548,130.666,15,18.215,140.666,30,17.882,135.666,22.5,,"Area=140 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=93.33 CF | Width=0' - 8"""
1249332,Walls,,"Generic - 8""",L 1,,,,"10' - 0""","0' - 8""",,,140 SF,93.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,27.548,135.666,15,27.548,140.666,15,27.548,130.666,15,,27.215,130.666,15,27.882,140.666,30,27.548,135.666,22.5,,"Area=140 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=93.33 CF | Width=0' - 8"""
1249372,Walls,,"Generic - 8""",L 1,,,,"10' - 0""","0' - 8""",,,140 SF,93.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,37.215,135.666,15,37.215,140.666,15,37.215,130.666,15,,36.882,130.666,15,37.548,140.666,30,37.215,135.666,22.5,,"Area=140 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=93.33 CF | Width=0' - 8"""
1249405,Walls,,"Generic - 8""",L 1,,,,"10' - 0""","0' - 8""",,,140 SF,93.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,46.882,135.666,15,46.882,140.666,15,46.882,130.666,15,,46.548,130.666,15,47.215,140.666,30,46.882,135.666,22.5,,"Area=140 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=93.33 CF | Width=0' - 8"""
1249438,Walls,,"Generic - 8""",L 1,,,,"10' - 0""","0' - 8""",,,140 SF,93.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,56.548,135.666,15,56.548,140.666,15,56.548,130.666,15,,56.215,130.666,15,56.882,140.666,30,56.548,135.666,22.5,,"Area=140 SF | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" | Type Id=Generic - 8"" | Type IfcGUID=1xZrMVYp52mhf4uMzw11Hk | Type Mark=G06 | Type Name=Generic - 8"" | Unconnected Height=15' - 0"" | Volume=93.33 CF | Width=0' - 8"""
